author_id,title,link
여행가쥬,발리 여행 꾸따 서핑 스쿨 한국어 강사 예약 비용 아이와 서핑 후기,https://blog.naver.com/shlej6/223844591178
릴 리,대만 타이베이 근교 여행지 이란 宜蘭 가볼만한곳 바다 서핑 등,https://blog.naver.com/l_b_v/223821968694
환진컬렉션,매니 피플 굿 웨이브 스랑안 서핑,https://blog.naver.com/h__h__n/223850110436
가영1기,"발리 서핑샵 추천 헬로서프 Hello surf / 서핑캠프 가격, 시설, 레슨 비기너패키지 미드랭스 도전 내돈내산 후기",https://blog.naver.com/hdbgy/223853518617
베를린+서울 사람,"발리여행 누사두아 그랜드 하얏트 근처 서핑 초보 레슨 추천, 장점 및 단점 Walkus surf school nusa dua",https://blog.naver.com/sweetkkubi/223843297087
Poursuis Tes Rêves,[독일 - 뮌헨] 혼여행 강추 / 여유로운 도시 / 소세지 핫도그 시나몬롤 프레첼 / 영국정원 / 서핑스팟 / 인형극 / 뮌헨에서 스트라스부르 플릭스버스,https://blog.naver.com/fafam101/223854434810
줌줌투어 공식 블로그 ⎮ ZoomZoomTour,호주 시드니 본다이비치 가는법 / 아이스버그 수영장 / 코스탈 워크 / 서핑 / 시드니 빅버스 블루라인 등,https://blog.naver.com/urimalo_/223836173481
oureve,발리 7박 9일 여행 ep.2 | 꾸따 서핑 포테이토헤드 짱구 누사페니다 스노쿨링 1일투어,https://blog.naver.com/oureve-/223852578948
"윤뜨의 잡담,","발리 서핑&물놀이여행4 : 아침서핑, 저녁힐링 (렘봉안 KAYU 카페, 맹그로브숲 투어, Kemilau Spa And Wellness)",https://blog.naver.com/cr326/223853588036
Olietti,"태국 푸켓여행 2일차 / Part1 - 카타비치 서핑, 파묵꼬리조트",https://blog.naver.com/jw443165/223850184633
