sent,난이도_태그,태그_근거
"​
사보험관련 세미나도 듣고 했는데 참 쉽지않다ㅠ
너무 어렵다… 
결국엔 보험설계사를 취득하기로.",error,Expecting value: line 1 column 1 (char 0)
"​










 
































​
​
2024년 7월쯤 정식으로 공부를 시작하기로 하였는데
블로그 찾아보니 2-3일 공부하면 합격한다는 후기보고
전날 대충 공부하고 시험치러 갔다가 불합격의 연속…😭
‘응시 -> 불합격 -> 좌절’ 을 반복하다가
포기하려던 순간 진짜 이번엔 마지막이라는 마음으로
​










 


















김토리쌤


명강사유투바 김토리쌤 이야기 보험 시험전문 강의(생명보험,손해보험,변액보험,퇴직연금)


youtube.com
























​
김토리쌤 유튜브를 알게되어 🔥🔥🔥 불태운결과
​










 
































​
드디어 
합격
이다앙~~










 




















 








모의고사 문제 열심히 풀고, 김토리쌤 강의 들으니까
진짜 합격할 수 있네?!",error,Expecting value: line 1 column 1 (char 0)
"​










 




































 








​
이 기운 받아서 바로 손해보험까지 치기로했어요~
생명보험 설계사는 위촉 서류 제출하고
필수로 수강해야하는 보험연수원 교육듣고
손해보험 설계사 공부도 시작했어요",error,Expecting value: line 1 column 1 (char 0)
제대로 공부를 못한것 같아서 걱정.,error,Expecting value: line 1 column 1 (char 0)
"접수 후 생명보험협회 홈페이지에서 시험시간, 시험 장소, 수험번호를 확인할 수 있다",error,Expecting value: line 1 column 1 (char 0)
"​
엄마가 보험회사에 20년 넘게 근무 중이셔서 접수는 엄마를 통해서 했고 교재도 엄마를 통해서 받았다",기타(어려움 아님),"This sentence simply describes how the speaker registered for the exam and received the study materials. There is no indication of difficulty or challenge in understanding the content, memorizing information, managing time, finding resources, or feeling demotivated."
"​
시험공부는 실제 시험에서 기출문제와 비슷한 문제들이 많이 나온다 하여 시험 2일 전부터 하루 2시간 정도 모의고사 문제를 풀며 공부했다",error,Expecting value: line 1 column 1 (char 0)
"금융 보험학 전공, 보험회사 근무 경험으로  어느 정도 보험에 지식이 있는 상태여서 공부가 그렇게 어렵진 않았다",error,Expecting value: line 1 column 1 (char 0)
"몇몇 분들이 질문사항이 있었는지 손을 들었는데 
시험 시간은 총 50분
이고 감독관의 안내까지 포함된 시간이라며  비꼬는 말투로 질문에 답하는 시간이 시험시간에 포함되니 시험시간 줄이고 싶으면 질문하라고 했다",error,Expecting value: line 1 column 1 (char 0)
나는 대충 공부한 걸 후회했다ㅠㅠㅠ생각보다 어려웠다,error,Expecting value: line 1 column 1 (char 0)
다시 공부 안 해도 돼서 너무 좋아요.,error,Expecting value: line 1 column 1 (char 0)
"한국기독교연합회관


서울특별시 종로구 김상옥로 30












 






























2024년 7월 합격증








 






























손보 87점
제3보 87점
​
60점 커트라인 인데
공부 넘 열심히 했나요",error,Expecting value: line 1 column 1 (char 0)
"​
공부기간은 7일 입니다",error,Expecting value: line 1 column 1 (char 0)
"​
하루에는
2시간 이상해야 함니다",error,Expecting value: line 1 column 1 (char 0)
"​
시험 3일전에는
8시간 이상 하는게 좋을 것 같아요",error,Expecting value: line 1 column 1 (char 0)
"​
2014년도에
생명보험을 합격했고
문제가 그렇게 어렵진 않았던 것 같아요
​
2021년도에
생명보험
손해보험
제3보험
요것도 그냥 풀었던 것 같아요",error,Expecting value: line 1 column 1 (char 0)
"​
공인중개사도 10월 26일이라
얼마 안 남았고
​
육아에
살림에
시간을 쪼개서
시험공부를 했어요",error,Expecting value: line 1 column 1 (char 0)
"​
아침 7~12시까지
원미도서관에서 공부했고
원래 더 하려고 했는데
집안일로 인해 못했어요
​
​
​








 




















































7일차에는
15회 ~ 20회를
했어요",error,Expecting value: line 1 column 1 (char 0)
"​
아침 7시부터 저녁 10시까지
부천시립상동도서관에서
공부했죠",error,Expecting value: line 1 column 1 (char 0)
